지역명,연도,월,평당분양가격,전용면적
충남,2016,4,7573.5,60㎡
충남,2016,4,7128.0,60㎡~85㎡
충남,2016,4,8385.3,85㎡~102㎡
충남,2016,4,8705.4,102㎡~
전북,2016,4,6299.7,모든면적
전북,2016,4,6270.0,60㎡
전북,2016,4,6322.799999999999,60㎡~85㎡
전북,2016,4,7487.7,85㎡~102㎡
전북,2016,4,7854.0,102㎡~
전남,2016,4,6352.5,모든면적
전남,2016,4,6563.7,60㎡
전남,2016,4,6345.9,60㎡~85㎡
전남,2016,4,7464.599999999999,85㎡~102㎡
전남,2016,4,7180.799999999999,102㎡~
경북,2016,4,7184.099999999999,모든면적
경북,2016,4,7164.299999999999,60㎡
경북,2016,4,7223.7,60㎡~85㎡
경북,2016,4,8827.5,85㎡~102㎡
경북,2016,4,7636.2,102㎡~
경남,2016,4,7890.299999999999,모든면적
경남,2016,4,7962.9,60㎡
경남,2016,4,7883.7,60㎡~85㎡
경남,2016,4,10480.8,85㎡~102㎡
경남,2016,4,8778.0,102㎡~
제주,2016,4,8972.699999999999,모든면적
제주,2016,4,9414.9,60㎡
제주,2016,4,9081.6,60㎡~85㎡
제주,2016,4,8992.5,85㎡~102㎡
제주,2016,4,8586.6,102㎡~
서울,2016,5,20671.199999999997,모든면적
서울,2016,5,21905.399999999998,60㎡
서울,2016,5,20476.5,60㎡~85㎡
서울,2016,5,25492.5,85㎡~102㎡
서울,2016,5,20964.899999999998,102㎡~
인천,2016,5,10490.699999999999,모든면적
인천,2016,5,10965.9,60㎡
인천,2016,5,10385.099999999999,60㎡~85㎡
인천,2016,5,11111.099999999999,85㎡~102㎡
인천,2016,5,13833.599999999999,102㎡~
경기,2016,5,11361.9,모든면적
경기,2016,5,12276.0,60㎡
경기,2016,5,11361.9,60㎡~85㎡
경기,2016,5,11121.0,85㎡~102㎡
경기,2016,5,13054.8,102㎡~
부산,2016,5,10388.4,모든면적
부산,2016,5,9824.1,60㎡
부산,2016,5,10134.3,60㎡~85㎡
부산,2016,5,10216.8,85㎡~102㎡
부산,2016,5,11668.8,102㎡~
대구,2016,5,10335.599999999999,모든면적
대구,2016,5,11170.5,60㎡
대구,2016,5,10447.8,60㎡~85㎡
대구,2016,5,8378.699999999999,85㎡~102㎡
대구,2016,5,9051.9,102㎡~
광주,2016,5,8982.6,모든면적
광주,2016,5,8471.1,60㎡
광주,2016,5,8985.9,60㎡~85㎡
광주,2016,5,9088.199999999999,85㎡~102㎡
광주,2016,5,11609.4,102㎡~
대전,2016,5,8134.5,모든면적
대전,2016,5,8520.6,60㎡
대전,2016,5,8009.099999999999,60㎡~85㎡
대전,2016,5,,85㎡~102㎡
대전,2016,5,,102㎡~
울산,2016,5,10154.099999999999,모든면적
울산,2016,5,8580.0,60㎡
울산,2016,5,10164.0,60㎡~85㎡
울산,2016,5,8787.9,85㎡~102㎡
울산,2016,5,9791.1,102㎡~
세종,2016,5,8844.0,모든면적
세종,2016,5,8764.8,60㎡
세종,2016,5,8906.699999999999,60㎡~85㎡
세종,2016,5,8758.199999999999,85㎡~102㎡
세종,2016,5,8956.199999999999,102㎡~
강원,2016,5,6986.099999999999,모든면적
강원,2016,5,6972.9,60㎡
강원,2016,5,7095.0,60㎡~85㎡
강원,2016,5,,85㎡~102㎡
강원,2016,5,7553.7,102㎡~
충북,2016,5,6534.0,모든면적
충북,2016,5,6352.5,60㎡
충북,2016,5,6679.2,60㎡~85㎡
충북,2016,5,7510.799999999999,85㎡~102㎡
충북,2016,5,7494.299999999999,102㎡~
충남,2016,5,7147.799999999999,모든면적
충남,2016,5,7593.299999999999,60㎡
충남,2016,5,7095.0,60㎡~85㎡
충남,2016,5,8428.199999999999,85㎡~102㎡
충남,2016,5,8705.4,102㎡~
전북,2016,5,6418.5,모든면적
전북,2016,5,6299.7,60㎡
전북,2016,5,6451.5,60㎡~85㎡
전북,2016,5,7487.7,85㎡~102㎡
전북,2016,5,7662.599999999999,102㎡~
