모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
MINI Cooper D,BMW,경유,1496 ,자동6,15.1,2등급,123
BMW 320d Gran Turismo,BMW,경유,1995 ,자동8,14.2,2등급,133
C220 d 4Matic Estate,벤츠,경유,2143 ,자동9,13.8,2등급,138
BMW 320d,BMW,경유,1995 ,자동8,15.1,2등급,124
재규어 XE 20d,재규어,경유,1999 ,자동8,13.8,2등급,138
E220 d,벤츠,경유,1950 ,자동9,15.1,2등급,124
"쏘울 1.6디젤 18""타이어(17MY)",기아,경유,1582 ,자동7,15.2,2등급,128
재규어 XF 20d,재규어,경유,1999 ,자동8,14.2,2등급,133
MINI Cooper SD Clubman,MINI,경유,1995 ,자동8,15.3,2등급,123
MINI Cooper D Clubman,MINI,경유,1995 ,자동8,15.2,2등급,123
K7(YG) 2.2디젤 (17인치타이어) (15),기아,경유,2199 ,자동8,14.3,2등급,133
BMW X1 xDrive18d,BMW,경유,1995 ,자동8,14.6,2등급,130
BMW X1 xDrive20d,BMW,경유,1995 ,자동8,14,2등급,136
BMW Active Tourer,BMW,경유,1995 ,자동8,15.7,2등급,119
티볼리 디젤 AT 2WD Short,쌍용,경유,1597 ,자동6,14.7,2등급,129
티볼리 디젤 AT AWD Short,쌍용,경유,1597 ,자동6,13.9,2등급,137
티볼리 디젤 MT 2WD Long,쌍용,경유,1597 ,수동6,15.7,2등급,120
티볼리 디젤 AT 2WD Long,쌍용,경유,1597 ,자동6,13.8,2등급,138
"스포티지(QL) 2.0디젤 2WD ISG (17""타이어) (15)",기아,경유,1995 ,자동6,13.9,2등급,136
K5(JF)1.7디젤_ISG(18인치타이어)(15),기아,경유,1685 ,자동7,15.6,2등급,120
"스포티지(QL) 2.0디젤 2WD ISG (18""타이어) (15)",기아,경유,1995 ,수동6,14.3,2등급,132
"투싼(TL) 1.7디젤 ISG (17""타이어) (15)",현대,경유,1685 ,자동7,15,2등급,125
K5(JF)1.7디젤7DCT_ISG(17인치타이어)(15),기아,경유,1685 ,자동7,15.9,2등급,118
"스포티지(QL) 2.0디젤 2WD ISG (17""타이어) (15)",기아,경유,1995 ,수동6,14.5,2등급,130
"투싼(TL) 1.7디젤 ISG (18""타이어) (15)",현대,경유,1685 ,자동7,14.6,2등급,129
"스포티지(QL) 1.7디젤 2WD ISG (17""타이어) (15)",기아,경유,1685 ,자동7,15,2등급,125
"스포티지(QL) 1.7디젤 2WD ISG (18""타이어) (15)",기아,경유,1685 ,자동7,14.6,2등급,129
레인지로버 이보크 2.0D,랜드로버,경유,1999 ,자동9,13.8,2등급,143
재규어 XE 2.0D,재규어,경유,1999 ,자동8,13.8,2등급,138
볼보 V40D3,볼보,경유,1969 ,자동6,15.2,2등급,124
쏘울 1.6디젤 (유로6),기아,경유,1582 ,자동7,15.8,2등급,123
쏘울 1.6디젤 18인치타이어(유로6),기아,경유,1582 ,자동7,15,2등급,130
카렌스 1.7 디젤 ISG 16인치타이어(유로6),기아,경유,1685 ,자동7,15.7,2등급,123
카렌스 1.7 디젤 7인(유로6),기아,경유,1685 ,자동7,14.9,2등급,131
카렌스 1.7 디젤 5인(유로6),기아,경유,1685 ,자동7,14.9,2등급,131
"투싼(TL) 2.0디젤 2WD ISG (17""타이어) (15)",현대,경유,1995 ,자동6,13.9,2등급,136
"투싼(TL) 2.0디젤 2WD (18""타이어) (15)",현대,경유,1995 ,수동6,14.3,2등급,132
"투싼(TL) 2.0디젤 2WD (17""타이어) (15)",현대,경유,1995 ,수동6,14.5,2등급,130
렉서스 ES300h,토요타,휘발유,2494 ,무단변속,14.9,2등급,108
볼보 V40CCD3,볼보,경유,1969 ,자동6,15.2,2등급,124
짚 체로키,크라이슬러,경유,1956 ,자동9,14,2등급,141
그랜저 2.2 디젤(17인치 타이어),현대,경유,2199 ,자동6,14,2등급,142
그랜저 2.2 디젤(18인치 타이어),현대,경유,2199 ,자동6,13.8,2등급,144
300C,크라이슬러,경유,2987 ,자동5,13.8,2등급,143
RVR(2WD),미쓰비시,휘발유,1998 ,무단변속,12.8,2등급,183
티볼리 1.6 디젤 AWD 6AT SCR,쌍용,경유,1597 ,자동6,13.6,3등급,139
티볼리 가솔린 1.5 MT 2WD 기준4,쌍용,휘발유,1497 ,수동6,12.1,3등급,136
티볼리 가솔린 1.5 AT 2WD 기준4 (16인치 타이어),쌍용,휘발유,1497 ,자동6,11.6,3등급,143
S350 d,벤츠,경유,2925 ,자동9,12.7,3등급,152
CLS400 d 4Matic,벤츠,경유,2925 ,자동9,11.7,3등급,165
